AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,1,Rafiq Pasha,28,M,A1
2,1,Somashekar Bhovi,34,M,A2
3,2,Somashekar Bhovi,34,M,A1
4,2,Rafiq Pasha,28,M,A2
5,2,Chandru Nayaka,31,M,A3
6,2,Manja Urs,26,M,A4
7,3,Manja Urs,26,M,A1
8,3,Chandru Nayaka,31,M,A2
9,3,Rafiq Pasha,28,M,A3
10,4,Rafiq Pasha,28,M,A1
11,4,Chandru Nayaka,31,M,A2
12,4,Somashekar Bhovi,34,M,A3
13,5,Manja Urs,26,M,A1
14,5,Rafiq Pasha,28,M,A2
15,5,Ilyas Sheikh,29,M,A3
16,5,Somashekar Bhovi,34,M,A4
17,6,Ilyas Sheikh,29,M,A1
18,6,Somashekar Bhovi,34,M,A2
19,6,Chandru Nayaka,31,M,A3
20,7,Manja Urs,26,M,A1
21,7,Ilyas Sheikh,29,M,A2
22,7,Somashekar Bhovi,34,M,A3
23,8,Chandru Nayaka,31,M,A1
24,8,Manja Urs,26,M,A2
25,8,Rafiq Pasha,28,M,A3
26,9,Rafiq Pasha,28,M,A1
27,9,Manja Urs,26,M,A2
28,10,Chandru Nayaka,31,M,A1
29,10,Rafiq Pasha,28,M,A2
30,10,Ilyas Sheikh,29,M,A3
31,10,Manja Urs,26,M,A4
32,11,Somashekar Bhovi,34,M,A1
33,11,Manja Urs,26,M,A2
34,11,Rafiq Pasha,28,M,A3
35,12,Chandru Nayaka,31,M,A1
36,12,Ilyas Sheikh,29,M,A2
37,12,Manja Urs,26,M,A3
38,12,Rafiq Pasha,28,M,A4
39,13,Rafiq Pasha,28,M,A1
40,13,Manja Urs,26,M,A2
41,14,Ilyas Sheikh,29,M,A1
42,14,Chandru Nayaka,31,M,A2
43,15,Girish,46,M,A1
44,16,Girish Khan,36,M,A1
45,17,Joseph Acharya,50,M,A1
46,18,Anand Kumar,51,M,A1
47,18,Bhagya Hegde,45,F,A2
48,18,Girish D'Souza,52,M,A3
49,19,Chandrashekar Rao,46,M,A1
50,20,Suresh Kulkarni,18,M,A1
51,20,Arun Reddy,24,M,A2
52,21,Karthik Patil,41,M,A1
53,22,Pooja D'Souza,20,F,A1
54,22,Arun Kumar,37,M,A2
55,23,Pooja Kumar,39,F,A1
56,23,Salman Swamy,53,M,A2
57,24,Basavaraj Khan,27,M,A1
58,24,Kiran Reddy,38,M,A2
59,24,Salman Rao,35,M,A3
60,25,Meena Swamy,22,F,A1
61,25,Girish Desai,30,M,A2
62,26,Suresh Rao,40,M,A1
63,27,Prakash Rao,23,M,A1
64,27,Imran D'Souza,32,M,A2
65,28,Venkatesh Khan,38,M,A1
66,29,Abdul Reddy,33,M,A1
67,30,Bhagya Swamy,19,F,A1
68,31,Divya Kulkarni,24,F,A1
69,31,Sunitha Murthy,42,F,A2
70,32,Manjunath Kumar,33,M,A1
71,33,Peter D'Souza,20,M,A1
