CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts,DistrictID,DistrictName,PoliceStationName
1,100010004202500001,202500001,2025-06-27,27,4,1,2,2,9,2,1,2025-06-26 04:34:14,2025-06-26 06:34:14,2025-06-27 13:34:14,12.914956,77.710167,"Complainant Shruthi Murthy reported that his/her two-wheeler parked near Bengaluru City area was stolen between the incident hours. Vehicle Theft case registered. Accused Rafiq Pasha, Somashekar Bhovi identified through CCTV footage.",1,Bengaluru City,Bengaluru City PS-4
2,100030009202600001,202600001,2026-05-10,64,9,1,1,2,5,5,3,2026-05-07 14:11:14,2026-05-07 17:11:14,2026-05-08 09:11:14,12.639208,77.200082,"Complainant Roopa Swamy reported an incident of Robbery at the stated location. Somashekar Bhovi, Rafiq Pasha, Chandru Nayaka, Manja Urs was named as accused. Investigation taken up by jurisdictional police.",3,Ramanagara,Ramanagara PS-1
3,100010003202300001,202300001,2023-11-23,18,3,1,2,2,9,1,1,2023-11-20 05:13:03,2023-11-20 11:13:03,2023-11-22 09:13:03,13.019873,77.726949,"Complainant Prakash Shetty reported that his/her two-wheeler parked near Bengaluru City area was stolen between the incident hours. Vehicle Theft case registered. Accused Manja Urs, Chandru Nayaka, Rafiq Pasha identified through CCTV footage.",1,Bengaluru City,Bengaluru City PS-3
4,300030011202600001,202600001,2026-05-20,78,11,2,2,2,9,4,3,2026-05-20 10:33:44,2026-05-20 22:33:44,2026-05-22 05:33:44,12.83805,77.193771,"Complainant Santosh D'Souza reported that his/her two-wheeler parked near Ramanagara area was stolen between the incident hours. Vehicle Theft case registered. Accused Rafiq Pasha, Chandru Nayaka, Somashekar Bhovi identified through CCTV footage.",3,Ramanagara,Ramanagara PS-3
5,100010001202500001,202500001,2025-05-05,4,1,1,1,2,5,1,1,2025-05-04 23:03:55,2025-05-05 06:03:55,2025-05-06 15:03:55,12.977246,77.513653,"Complainant Bhagya Khan reported an incident of Robbery at the stated location. Manja Urs, Rafiq Pasha, Ilyas Sheikh, Somashekar Bhovi was named as accused. Investigation taken up by jurisdictional police.",1,Bengaluru City,Bengaluru City PS-1
6,100030011202600001,202600001,2026-04-11,77,11,1,2,2,9,1,3,2026-04-07 17:31:03,2026-04-07 17:31:03,2026-04-09 00:31:03,12.856045,77.377558,"Complainant Naveen Swamy reported that his/her two-wheeler parked near Ramanagara area was stolen between the incident hours. Vehicle Theft case registered. Accused Ilyas Sheikh, Somashekar Bhovi, Chandru Nayaka identified through CCTV footage.",3,Ramanagara,Ramanagara PS-3
7,100030012202600001,202600001,2026-03-15,85,12,1,1,2,5,3,3,2026-03-14 21:56:16,2026-03-14 23:56:16,2026-03-15 09:56:16,12.670124,77.137972,"Complainant Pooja reported an incident of Robbery at the stated location. Manja Urs, Ilyas Sheikh, Somashekar Bhovi was named as accused. Investigation taken up by jurisdictional police.",3,Ramanagara,Ramanagara PS-4
8,100010002202300001,202300001,2023-11-16,10,2,1,2,2,9,2,1,2023-11-15 21:13:16,2023-11-16 02:13:16,2023-11-17 05:13:16,12.838836,77.60016,"Complainant Sunitha Rao reported that his/her two-wheeler parked near Bengaluru City area was stolen between the incident hours. Vehicle Theft case registered. Accused Chandru Nayaka, Manja Urs, Rafiq Pasha identified through CCTV footage.",1,Bengaluru City,Bengaluru City PS-2
9,100030012202300001,202300001,2023-04-10,86,12,1,2,2,9,1,3,2023-04-07 20:58:33,2023-04-08 03:58:33,2023-04-09 16:58:33,12.845391,77.394772,"Complainant Peter Kumar reported that his/her two-wheeler parked near Ramanagara area was stolen between the incident hours. Vehicle Theft case registered. Accused Rafiq Pasha, Manja Urs identified through CCTV footage.",3,Ramanagara,Ramanagara PS-4
10,100010003202500001,202500001,2025-09-02,16,3,1,2,2,9,1,1,2025-08-30 16:38:20,2025-08-30 17:38:20,2025-08-31 17:38:20,13.094221,77.567983,"Complainant Joseph Rao reported that his/her two-wheeler parked near Bengaluru City area was stolen between the incident hours. Vehicle Theft case registered. Accused Chandru Nayaka, Rafiq Pasha, Ilyas Sheikh, Manja Urs identified through CCTV footage.",1,Bengaluru City,Bengaluru City PS-3
