ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,Shruthi Murthy,36,6,1,5,2
2,2,Roopa Swamy,31,7,2,1,2
3,3,Prakash Shetty,26,4,2,5,1
4,4,Santosh D'Souza,42,9,3,4,1
5,5,Bhagya Khan,47,7,4,3,2
6,6,Naveen Swamy,32,4,6,2,1
7,7,Pooja,43,7,2,4,2
8,8,Sunitha Rao,26,9,4,4,2
9,9,Peter Kumar,36,8,3,3,1
10,10,Joseph Rao,50,6,4,4,1
11,11,Deepak Rao,29,5,1,5,1
12,12,Abdul Kumar,32,2,6,2,1
13,13,Deepak Murthy,58,7,6,2,1
14,14,Lokesh Naik,59,1,2,5,1
15,15,Vinay Shetty,23,3,5,5,1
16,16,Mary Poojary,66,3,4,1,2
17,17,Vani Swamy,49,5,6,5,2
18,18,Salman Shetty,34,10,4,2,1
19,19,Prakash Kumar,67,7,5,4,1
20,20,Naveen Hegde,23,5,1,4,1
21,21,Meena Reddy,40,6,1,1,2
22,22,Shobha Sheikh,43,10,1,3,2
23,23,Prakash Poojary,63,1,2,3,1
24,24,Girish Reddy,55,9,2,4,1
25,25,Salman Reddy,67,3,4,4,1
26,26,Shivakumar Sheikh,36,3,2,2,1
27,27,Lokesh Sheikh,37,10,2,4,1
28,28,Lokesh Gowda,43,9,5,5,1
29,29,Harish Desai,20,9,3,5,1
30,30,Sunitha Swamy,47,2,3,4,2
31,31,Naveen Patil,35,1,1,4,1
32,32,Vani Khan,50,5,3,4,2
33,33,Basavaraj Sheikh,50,9,6,1,1
34,34,Asha Desai,59,9,1,4,2
35,35,Sunitha Shetty,40,7,1,3,2
36,36,Joseph Patil,21,6,4,5,1
37,37,Savitha Kulkarni,30,3,4,1,2
38,38,Asha Desai,48,5,5,1,2
39,39,Salman Khan,24,2,5,5,1
40,40,Geetha Desai,20,10,1,2,2
41,41,Suresh Fernandes,33,5,1,2,1
42,42,Peter Kulkarni,29,5,1,5,1
43,43,Sunitha Hegde,70,7,6,5,2
44,44,Rekha Naik,26,8,5,4,2
45,45,Prakash Desai,40,2,5,3,1
46,46,Mahesh Shetty,42,8,6,4,1
47,47,Mary,67,4,6,1,2
48,48,Geetha Hegde,48,3,6,5,2
49,49,Lokesh Reddy,32,7,2,5,1
50,50,Anand Sheikh,20,1,3,1,1
51,51,Rekha Kumar,63,4,2,2,2
52,52,Joseph Desai,53,2,4,1,1
53,53,Shivakumar Acharya,50,10,3,3,1
54,54,Rekha Murthy,39,10,4,2,2
55,55,Padma Kulkarni,58,3,1,2,2
56,56,Manjunath,57,3,3,3,1
57,57,Ayesha Poojary,44,6,3,5,2
58,58,Shruthi Fernandes,24,8,5,5,2
59,59,Arun Acharya,70,9,6,5,1
60,60,Divya Hegde,38,4,1,1,2
61,61,Rekha Shetty,58,1,6,5,2
62,62,Girish Gowda,29,10,6,5,1
63,63,Manjunath Acharya,63,9,6,3,1
64,64,Bhagya Naik,54,6,3,1,2
65,65,Kavitha Naik,51,4,1,5,2
66,66,Savitha Fernandes,51,1,3,1,2
67,67,Shobha Hegde,23,4,6,3,2
68,68,Chandrashekar D'Souza,33,10,4,4,1
69,69,Ayesha D'Souza,30,7,2,1,2
70,70,Asha Desai,30,7,2,5,2
71,71,Kavitha Patil,28,6,6,1,2
72,72,Shobha D'Souza,50,3,2,1,2
73,73,Umesh Sheikh,19,4,5,4,1
74,74,Shruthi Fernandes,60,3,3,4,2
75,75,Basavaraj Acharya,33,7,4,4,1
76,76,Ayesha Acharya,45,8,4,4,2
77,77,Pooja Sheikh,62,6,1,1,2
78,78,Santosh Shetty,70,4,2,5,1
79,79,Ayesha Kulkarni,18,3,3,5,2
80,80,Geetha Murthy,55,10,3,5,2
81,81,Santosh Murthy,24,8,4,2,1
82,82,Sunitha D'Souza,49,4,2,5,2
83,83,Naveen D'Souza,57,9,3,4,1
84,84,Venkatesh Sheikh,26,5,6,1,1
85,85,Manjula Acharya,40,4,3,4,2
86,86,Shobha Khan,63,5,3,5,2
87,87,Ravi Sheikh,20,5,3,5,1
88,88,Arun Rao,53,7,6,3,1
89,89,Padma Hegde,46,8,1,4,2
90,90,Harish Rao,59,1,2,5,1
91,91,Roopa Poojary,59,6,4,3,2
92,92,Roopa Kulkarni,30,10,3,2,2
