VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,1,Suresh Patil,18,M,0
2,2,Umesh Gowda,26,M,0
3,3,Roopa Poojary,43,F,0
4,4,Mahesh Acharya,73,M,0
5,5,Padma Swamy,15,F,0
6,5,Nagaraj Kumar,57,M,0
7,6,Ayesha Murthy,22,F,0
8,7,Asha Sheikh,25,F,0
9,8,Asha Shetty,38,F,0
10,9,Raghavendra Patil,34,M,0
11,10,Chandrashekar Reddy,71,M,0
12,11,Manjunath Gowda,46,M,0
13,12,Raghavendra D'Souza,25,M,0
14,13,Fathima Kumar,54,F,0
15,14,Roopa Shetty,47,F,0
16,14,Chandrashekar Poojary,48,M,0
17,15,Harish D'Souza,22,M,0
18,15,Kavitha Hegde,37,F,0
19,16,Rekha Desai,31,F,0
20,17,Prakash Swamy,32,M,0
21,18,Ravi Rao,23,M,0
22,19,Sunitha Hegde,59,F,0
23,20,Mahesh Gowda,42,M,0
24,21,Geetha Gowda,27,F,0
25,22,Manjula Swamy,49,F,0
26,23,Shobha Kulkarni,72,F,0
27,23,Abdul Shetty,74,M,0
28,24,Vani Shetty,40,F,0
29,24,Venkatesh Khan,52,M,0
30,25,Ravi Fernandes,62,M,0
31,26,Peter Gowda,58,M,0
32,26,Abdul Shetty,60,M,0
33,27,Joseph Khan,60,M,0
34,28,Joseph Naik,27,M,0
35,29,Roopa D'Souza,57,F,0
36,30,Venkatesh Naik,21,M,0
37,30,Asha Acharya,32,F,0
38,31,Lokesh Rao,27,M,0
39,31,Pooja Sheikh,24,F,0
40,32,Girish Kumar,51,M,0
41,33,Karthik Gowda,66,M,0
42,34,Savitha Acharya,12,F,0
43,34,Kavitha Acharya,25,F,1
44,35,Prakash Naik,48,M,0
45,35,Bhagya Murthy,16,F,0
46,36,Fathima Desai,48,F,0
47,37,Naveen Reddy,60,M,0
48,38,Fathima Acharya,54,F,0
49,39,Asha Fernandes,31,F,0
50,40,Fathima Fernandes,21,F,0
51,41,Geetha Kulkarni,18,F,0
52,41,Karthik Naik,26,M,1
53,42,Peter Swamy,44,M,0
54,43,Manjunath Poojary,43,M,0
55,44,Roopa Sheikh,31,F,0
56,44,Divya Rao,14,F,0
57,45,Suresh Shetty,34,M,0
58,46,Anand Poojary,47,M,0
59,46,Geetha Hegde,61,F,0
60,47,Vinay Gowda,58,M,0
61,48,Fathima Poojary,55,F,0
62,49,Karthik Khan,73,M,0
63,50,Umesh Desai,62,M,0
64,50,Meena Acharya,28,F,0
65,51,Chandrashekar D'Souza,55,M,0
66,52,Girish Hegde,20,M,0
67,53,Mary Khan,45,F,0
68,54,Manjula Kulkarni,70,F,0
69,55,Rekha Desai,69,F,0
70,56,Geetha Sheikh,52,F,0
71,57,Manjula Hegde,70,F,0
72,58,Bhagya Naik,40,F,0
73,58,Manjula Naik,72,F,0
74,59,Anand Poojary,42,M,0
75,60,Imran,31,M,0
76,61,Shivakumar Rao,25,M,0
77,61,Sunitha Kumar,21,F,0
78,62,Mahesh Acharya,73,M,0
79,62,Santosh D'Souza,44,M,0
80,63,Bhagya D'Souza,63,F,0
81,64,Chandrashekar Kulkarni,64,M,0
82,65,Anand Poojary,67,M,0
83,66,Karthik Poojary,50,M,0
84,67,Salman Reddy,45,M,0
85,67,Prakash Reddy,50,M,0
86,68,Fathima Patil,23,F,0
87,68,Rekha Acharya,43,F,0
88,69,Abdul Desai,25,M,0
89,70,Mary Poojary,25,F,0
90,71,Ayesha Shetty,13,F,0
91,72,Ayesha Sheikh,56,F,0
92,73,Vinay Swamy,25,M,0
93,74,Lakshmi Khan,17,F,0
94,75,Nagaraj Desai,51,M,0
95,75,Roopa,29,F,0
96,76,Joseph Poojary,23,M,0
97,77,Salman Naik,30,M,0
98,78,Basavaraj Sheikh,49,M,0
99,79,Umesh D'Souza,61,M,0
100,79,Imran Shetty,57,M,0
101,80,Rekha Reddy,15,F,0
102,81,Vinay Kulkarni,74,M,0
103,81,Shobha Naik,32,F,0
104,82,Vani Fernandes,29,F,0
105,82,Bhagya Swamy,21,F,0
106,83,Anand Sheikh,45,M,0
107,84,Mary Patil,56,F,0
108,85,Harish Kumar,13,M,0
109,85,Arun Gowda,43,M,0
110,86,Chandrashekar Kulkarni,52,M,0
111,87,Suresh Kulkarni,61,M,0
112,88,Bhagya,45,F,0
113,88,Ayesha Patil,28,F,0
114,89,Umesh Sheikh,39,M,0
115,90,Savitha Fernandes,41,F,0
116,90,Padma Gowda,57,F,0
117,91,Umesh Reddy,49,M,0
118,92,Shobha Khan,52,F,0
119,93,Bhagya D'Souza,30,F,0
120,94,Pooja Rao,17,F,0
121,95,Sunitha Rao,48,F,0
122,96,Mary Shetty,70,F,0
123,97,Salman Murthy,16,M,0
124,98,Girish Sheikh,74,M,0
125,98,Shruthi Acharya,73,F,0
126,99,Padma Murthy,64,F,0
127,100,Vani Fernandes,20,F,0
128,101,Suresh Kulkarni,27,M,0
129,102,Meena Desai,66,F,0
130,103,Bhagya Desai,55,F,0
131,104,Vinay Khan,26,M,0
132,105,Fathima Khan,38,F,0
133,106,Prakash Naik,47,M,0
134,107,Roopa Desai,27,F,0
135,108,Vani Poojary,39,F,0
136,108,Lokesh Acharya,34,M,0
137,109,Naveen Shetty,22,M,0
138,110,Santosh Khan,17,M,0
139,111,Girish Naik,28,M,0
140,111,Kavitha Hegde,47,F,0
141,112,Rekha D'Souza,38,F,0
142,113,Divya Hegde,14,F,0
143,114,Manjunath Desai,30,M,0
144,115,Ayesha Patil,24,F,0
145,115,Geetha Swamy,53,F,0
146,116,Sunitha Hegde,62,F,0
147,117,Kiran Gowda,55,M,0
148,118,Umesh Reddy,62,M,0
